Nombre;Motor;Año;Kilometraje;Cero_km;Accesorios;Valor
Silver Shadow;Motor Diesel;2015;99052;False;['4 X 4', 'Central multimedia', 'Aire condicionado', 'Techo panorámico', 'Cerraduras electricas', 'Control de tracción', 'Panel digital', 'Sensor de lluvia'];143568.22
Classe C 63 AMG Touring;Motor Diesel V8;2007;52389;False;['Central multimedia', 'Piloto automático', 'Frenos ABS', 'Sensor crepuscular', 'Transmisión automática', 'Asientos de cuero', 'Sensor de lluvia', 'Ventanas eléctricas'];138171.85
Discovery 4;Motor 4.0 Turbo;2005;119945;False;['Frenos ABS', 'Llantas de aleación', 'Sensor de lluvia', 'Control de estabilidad', 'Ventanas eléctricas', 'Techo panorámico', 'Sensor crepuscular', 'Control de tracción'];115784.95
Veloster;Motor Diesel V8;2017;96005;False;['Aire condicionado', 'Central multimedia', 'Asientos de cuero', 'Sensor crepuscular', 'Frenos ABS', 'Ventanas eléctricas', 'Cámara de estacionamiento', '4 X 4'];146508.99
Classe C;Motor Diesel V6;1998;31639;False;['Frenos ABS', 'Sensor de lluvia', 'Central multimedia', 'Transmisión automática', 'Panel digital', 'Control de tracción', 'Asientos de cuero', 'Control de estabilidad'];137670.23
Camry;Motor Diesel;2019;;True;['Cerraduras electricas', 'Llantas de aleación', 'Sensor crepuscular', 'Asientos de cuero', 'Panel digital', 'Frenos ABS', 'Aire condicionado', 'Cámara de estacionamiento'];138597.27
C5 Tourer;Motor Diesel V6;1999;80187;False;['Llantas de aleación', 'Sensor de lluvia', 'Panel digital', 'Cámara de estacionamiento', 'Control de tracción', 'Ventanas eléctricas', 'Central multimedia', '4 X 4'];147627.81
R8 GT;Motor 4.0 Turbo;2019;;True;['Llantas de aleación', 'Transmisión automática', 'Sensor crepuscular', 'Sensor de estacionamiento', 'Asientos de cuero', 'Techo panorámico', 'Frenos ABS', 'Cámara de estacionamiento'];62999.02
Bongo;Motor Diesel V8;2009;58212;False;['Ventanas eléctricas', 'Techo panorámico', 'Panel digital', 'Piloto automático', 'Sensor crepuscular', 'Central multimedia', 'Transmisión automática', 'Llantas de aleación'];91242.44
ASX;Motor Diesel V8;2003;61672;False;['Aire condicionado', 'Sensor crepuscular', 'Llantas de aleación', 'Control de estabilidad', 'Piloto automático', 'Transmisión automática', 'Sensor de estacionamiento', 'Techo panorámico'];149489.92
Cadillac SRX;Motor 5.0 V8 Bi-Turbo;1994;32017;False;['Panel digital', 'Piloto automático', 'Control de estabilidad', 'Techo panorámico', 'Cerraduras electricas', 'Llantas de aleación', 'Central multimedia', '4 X 4'];63529.95
Classe CL;Motor V8;2019;;True;['Central multimedia', 'Transmisión automática', '4 X 4', 'Control de estabilidad', 'Asientos de cuero', 'Aire condicionado', 'Frenos ABS', 'Cámara de estacionamiento'];58525.41
500 Abarth;Motor V6;1994;56944;False;['4 X 4', 'Techo panorámico', 'Control de tracción', 'Control de estabilidad', 'Sensor de lluvia', 'Cerraduras electricas', 'Panel digital', 'Sensor crepuscular'];90345.05
Aston Martin Cygnet;Motor 5.0 V8 Bi-Turbo;2019;;True;['Panel digital', 'Aire condicionado', 'Sensor crepuscular', 'Frenos ABS', 'Sensor de lluvia', 'Cámara de estacionamiento', 'Control de tracción', 'Ventanas eléctricas'];147770.87
Cadillac STS;Motor 4.0 Turbo;2015;86519;False;['Panel digital', 'Asientos de cuero', 'Sensor de estacionamiento', '4 X 4', 'Piloto automático', 'Transmisión automática', 'Control de tracción', 'Cerraduras electricas'];106617.71
Aston Martin DB9;Motor 1.8 16v;1996;4821;False;['Aire condicionado', 'Ventanas eléctricas', '4 X 4', 'Cámara de estacionamiento', 'Transmisión automática', 'Llantas de aleación', 'Asientos de cuero', 'Panel digital'];104929.88
NX 200t;Motor 2.4 Turbo;1997;101025;False;['Control de estabilidad', 'Panel digital', 'Asientos de cuero', 'Llantas de aleación', 'Piloto automático', 'Ventanas eléctricas', '4 X 4', 'Control de tracción'];100712.45
Aston Martin One-77;Motor V6;1993;30705;False;['Sensor de estacionamiento', 'Llantas de aleación', 'Control de estabilidad', 'Asientos de cuero', 'Control de tracción', 'Piloto automático', 'Central multimedia', 'Ventanas eléctricas'];141982.93
Lamborghini Veneno;Motor 3.0 32v;2019;;True;['4 X 4', 'Sensor de estacionamiento', 'Transmisión automática', 'Llantas de aleación', 'Techo panorámico', 'Central multimedia', 'Cerraduras electricas', 'Piloto automático'];104038.79
Sentra;Motor 2.0 16v;1992;32555;False;['Piloto automático', 'Sensor crepuscular', 'Cerraduras electricas', 'Aire condicionado', 'Transmisión automática', 'Panel digital', 'Ventanas eléctricas', 'Control de tracción'];88501.54
Jumper;Motor 2.4 Turbo;1995;103389;False;['Aire condicionado', 'Llantas de aleación', 'Transmisión automática', 'Asientos de cuero', 'Piloto automático', 'Frenos ABS', 'Panel digital', 'Ventanas eléctricas'];79782.02
i30;Motor 1.8 16v;2019;;True;['Transmisión automática', 'Control de estabilidad', 'Sensor crepuscular', 'Control de tracción', 'Ventanas eléctricas', 'Frenos ABS', 'Central multimedia', 'Asientos de cuero'];86224.1
X6;Motor Diesel V6;1990;55289;False;['Cámara de estacionamiento', 'Cerraduras electricas', 'Central multimedia', 'Piloto automático', 'Control de tracción', 'Asientos de cuero', 'Sensor crepuscular', 'Sensor de estacionamiento'];103596.18
Voyage;Motor 5.0 V8 Bi-Turbo;2019;;True;['Aire condicionado', 'Sensor de estacionamiento', 'Asientos de cuero', 'Control de estabilidad', 'Sensor crepuscular', '4 X 4', 'Ventanas eléctricas', 'Cerraduras electricas'];148996.47
Phantom I Phantom II;Motor 1.8 16v;2019;;True;['Piloto automático', 'Frenos ABS', 'Panel digital', 'Aire condicionado', 'Asientos de cuero', 'Llantas de aleación', 'Transmisión automática', 'Sensor crepuscular'];60948.01
Passat Variant;Motor 1.0 8v;1991;115930;False;['Frenos ABS', 'Llantas de aleación', 'Piloto automático', 'Control de tracción', 'Asientos de cuero', 'Ventanas eléctricas', 'Techo panorámico', 'Panel digital'];69535.44
Clio;Motor Diesel;1990;66437;False;['4 X 4', 'Transmisión automática', 'Frenos ABS', 'Asientos de cuero', 'Piloto automático', 'Control de estabilidad', 'Sensor de estacionamiento', 'Sensor crepuscular'];111130.33
Classe G;Motor Diesel V6;2012;96800;False;['Control de estabilidad', 'Central multimedia', 'Sensor crepuscular', 'Frenos ABS', 'Llantas de aleación', '4 X 4', 'Ventanas eléctricas', 'Techo panorámico'];65847.69
Silver Ghost;Motor 1.8 16v;2007;14237;False;['Cerraduras electricas', 'Panel digital', 'Cámara de estacionamiento', 'Central multimedia', 'Control de estabilidad', 'Piloto automático', 'Sensor de estacionamiento', '4 X 4'];78096.06
Série 3 M3 Coupé;Motor Diesel;2013;19896;False;['Asientos de cuero', 'Sensor de lluvia', 'Aire condicionado', 'Central multimedia', 'Sensor de estacionamiento', 'Llantas de aleación', 'Panel digital', 'Sensor crepuscular'];69219.89
Gallardo LP 560 – 4;Motor Diesel;2000;113045;False;['Frenos ABS', 'Techo panorámico', 'Central multimedia', 'Asientos de cuero', 'Llantas de aleación', 'Sensor de estacionamiento', 'Cerraduras electricas', '4 X 4'];144118.91
Freelander 2;Motor Diesel V6;2002;114942;False;['4 X 4', 'Cámara de estacionamiento', 'Sensor crepuscular', 'Transmisión automática', 'Panel digital', 'Sensor de lluvia', 'Sensor de estacionamiento', 'Techo panorámico'];77397.05
Grand Cherokee;Motor 5.0 V8 Bi-Turbo;1996;3173;False;['Transmisión automática', 'Cerraduras electricas', 'Sensor de estacionamiento', 'Techo panorámico', 'Asientos de cuero', '4 X 4', 'Panel digital', 'Cámara de estacionamiento'];68974.25
Aston Martin DBR9;Motor 4.0 Turbo;1996;83611;False;['Control de estabilidad', 'Sensor de estacionamiento', 'Piloto automático', 'Techo panorámico', 'Cámara de estacionamiento', 'Transmisión automática', 'Asientos de cuero', 'Frenos ABS'];125231.3
Soul;Motor 5.0 V8 Bi-Turbo;2015;25356;False;['Sensor crepuscular', 'Piloto automático', 'Sensor de estacionamiento', 'Sensor de lluvia', 'Control de estabilidad', 'Cerraduras electricas', 'Control de tracción', 'Asientos de cuero'];85501.12
Cadillac BLS;Motor V8;1993;88634;False;['Techo panorámico', 'Control de estabilidad', 'Transmisión automática', 'Control de tracción', 'Aire condicionado', 'Sensor de lluvia', 'Panel digital', 'Sensor crepuscular'];137116.21
RX 350;Motor V6;2013;2314;False;['Piloto automático', 'Sensor crepuscular', 'Aire condicionado', 'Control de estabilidad', 'Asientos de cuero', 'Control de tracción', 'Llantas de aleación', 'Sensor de estacionamiento'];138823.81
Cayman;Motor 3.0 32v;2013;2627;False;['Central multimedia', 'Panel digital', 'Sensor crepuscular', 'Frenos ABS', '4 X 4', 'Techo panorámico', 'Asientos de cuero', 'Cámara de estacionamiento'];117961.95
Chana Utility;Motor Diesel;2009;52034;False;['Aire condicionado', 'Sensor de estacionamiento', 'Piloto automático', 'Ventanas eléctricas', 'Control de tracción', '4 X 4', 'Techo panorámico', 'Llantas de aleación'];132662.32
308 CC;Motor 4.0 Turbo;2019;;True;['Cámara de estacionamiento', 'Asientos de cuero', 'Central multimedia', 'Llantas de aleación', 'Ventanas eléctricas', 'Panel digital', 'Control de estabilidad', 'Transmisión automática'];146405.79
L200 Triton;Motor Diesel V8;2019;;True;['Ventanas eléctricas', 'Aire condicionado', 'Panel digital', 'Control de tracción', 'Cámara de estacionamiento', 'Cerraduras electricas', '4 X 4', 'Transmisión automática'];81999.21
Jetta;Motor 5.0 V8 Bi-Turbo;2002;79577;False;['Central multimedia', 'Ventanas eléctricas', 'Cámara de estacionamiento', 'Piloto automático', 'Frenos ABS', 'Asientos de cuero', 'Aire condicionado', 'Sensor de estacionamiento'];140934.6
C4 Lounge;Motor V8;1997;108201;False;['Central multimedia', 'Control de tracción', 'Techo panorámico', 'Sensor de lluvia', 'Cerraduras electricas', 'Sensor de estacionamiento', 'Transmisión automática', 'Ventanas eléctricas'];82366.81
C4 Pallas;Motor 1.0 8v;1998;76453;False;['4 X 4', 'Frenos ABS', 'Sensor de lluvia', 'Llantas de aleación', 'Transmisión automática', 'Cerraduras electricas', 'Control de estabilidad', 'Sensor crepuscular'];70424.11
Equus;Motor 3.0 32v;2004;57683;False;['Cerraduras electricas', 'Llantas de aleación', '4 X 4', 'Transmisión automática', 'Frenos ABS', 'Central multimedia', 'Ventanas eléctricas', 'Sensor de estacionamiento'];53620.31
Classe GL;Motor 3.0 32v;1996;96610;False;['Frenos ABS', 'Cámara de estacionamiento', 'Cerraduras electricas', 'Transmisión automática', 'Panel digital', 'Sensor de lluvia', '4 X 4', 'Asientos de cuero'];73389.18
Range Rover Evoque;Motor 2.0 16v;2015;109001;False;['Llantas de aleación', 'Techo panorámico', 'Sensor de lluvia', 'Cerraduras electricas', 'Piloto automático', 'Panel digital', 'Sensor crepuscular', 'Control de estabilidad'];111618.12
Cherokee;Motor 4.0 Turbo;2016;26212;False;['Panel digital', 'Cerraduras electricas', 'Llantas de aleación', 'Cámara de estacionamiento', 'Sensor de estacionamiento', 'Techo panorámico', 'Aire condicionado', 'Piloto automático'];112187.37
Punto;Motor 4.0 Turbo;2005;45971;False;['Central multimedia', 'Transmisión automática', 'Piloto automático', '4 X 4', 'Sensor de lluvia', 'Panel digital', 'Control de estabilidad', 'Techo panorámico'];120812.57
Grand Tour;Motor 3.0 32v;1999;49182;False;['Llantas de aleación', 'Cerraduras electricas', 'Asientos de cuero', '4 X 4', 'Central multimedia', 'Ventanas eléctricas', 'Control de estabilidad', 'Techo panorámico'];116031.04
Fluence;Motor Diesel V6;1995;49907;False;['Sensor crepuscular', 'Techo panorámico', 'Transmisión automática', 'Cámara de estacionamiento', 'Asientos de cuero', 'Frenos ABS', 'Aire condicionado', 'Central multimedia'];125398.11
Effa Hafei Picape Cabine Simples;Motor 1.0 8v;1993;38620;False;['Piloto automático', 'Aire condicionado', 'Central multimedia', 'Panel digital', '4 X 4', 'Sensor de estacionamiento', 'Control de estabilidad', 'Sensor crepuscular'];76101.47
Durango;Motor 2.0 16v;2004;60996;False;['Asientos de cuero', 'Panel digital', 'Transmisión automática', 'Cámara de estacionamiento', '4 X 4', 'Control de estabilidad', 'Llantas de aleación', 'Techo panorámico'];75263.24
Boxster;Motor Diesel V8;2013;73914;False;['Techo panorámico', 'Sensor crepuscular', 'Asientos de cuero', 'Sensor de estacionamiento', 'Cerraduras electricas', 'Central multimedia', 'Control de estabilidad', 'Llantas de aleación'];147387.76
TT Roadster;Motor Diesel;1998;107392;False;['Aire condicionado', 'Sensor de estacionamiento', 'Control de tracción', 'Frenos ABS', 'Panel digital', 'Ventanas eléctricas', 'Piloto automático', 'Cerraduras electricas'];85311.4
Lamborghini Jalpa;Motor 1.8 16v;2018;9146;False;['Piloto automático', 'Frenos ABS', 'Sensor de estacionamiento', 'Ventanas eléctricas', 'Cerraduras electricas', 'Control de tracción', 'Sensor crepuscular', 'Transmisión automática'];54388.11
Classe SLK;Motor 4.0 Turbo;2019;;True;['4 X 4', 'Sensor de estacionamiento', 'Control de tracción', 'Llantas de aleación', 'Sensor de lluvia', 'Aire condicionado', 'Frenos ABS', 'Asientos de cuero'];124156.65
Golf;Motor 1.0 8v;2018;17924;False;['Llantas de aleación', 'Control de tracción', 'Sensor de lluvia', 'Asientos de cuero', 'Frenos ABS', 'Panel digital', 'Transmisión automática', 'Sensor de estacionamiento'];146203.34
C3 Picasso;Motor 3.0 32v;2019;;True;['Techo panorámico', 'Sensor crepuscular', 'Sensor de lluvia', 'Ventanas eléctricas', 'Aire condicionado', 'Control de estabilidad', 'Cámara de estacionamiento', 'Central multimedia'];56453.94
V50;Motor 2.0 16v;1990;116949;False;['Techo panorámico', 'Cámara de estacionamiento', 'Control de estabilidad', 'Panel digital', 'Transmisión automática', 'Asientos de cuero', 'Llantas de aleación', 'Frenos ABS'];68873.79
Picanto;Motor 4.0 Turbo;2009;20476;False;['Panel digital', 'Control de estabilidad', 'Frenos ABS', 'Cerraduras electricas', 'Piloto automático', 'Sensor de estacionamiento', 'Ventanas eléctricas', 'Cámara de estacionamiento'];91667.61
Cadenza;Motor Diesel V6;1990;52804;False;['Sensor crepuscular', 'Control de estabilidad', 'Cámara de estacionamiento', 'Llantas de aleación', 'Ventanas eléctricas', 'Transmisión automática', 'Cerraduras electricas', 'Aire condicionado'];93776.52
Etios Sedã;Motor 5.0 V8 Bi-Turbo;2006;8849;False;['Aire condicionado', 'Ventanas eléctricas', 'Sensor de lluvia', 'Frenos ABS', 'Control de tracción', 'Sensor crepuscular', 'Transmisión automática', 'Techo panorámico'];66433.82
Alsvin;Motor Diesel V8;2002;91724;False;['Central multimedia', 'Control de estabilidad', 'Aire condicionado', 'Ventanas eléctricas', 'Control de tracción', 'Frenos ABS', 'Sensor de estacionamiento', 'Transmisión automática'];109059.27
Cadillac ATS;Motor Diesel V6;1991;32056;False;['Piloto automático', 'Llantas de aleación', '4 X 4', 'Asientos de cuero', 'Sensor de estacionamiento', 'Ventanas eléctricas', 'Cerraduras electricas', 'Sensor crepuscular'];122069.97
Série 3 M3 Sedã;Motor Diesel V6;1992;74886;False;['Panel digital', 'Frenos ABS', 'Aire condicionado', 'Asientos de cuero', 'Control de tracción', 'Piloto automático', 'Cámara de estacionamiento', '4 X 4'];113090.32
Classe S;Motor 3.0 32v;2019;;True;['Control de tracción', 'Techo panorámico', 'Transmisión automática', 'Central multimedia', 'Asientos de cuero', 'Ventanas eléctricas', 'Cerraduras electricas', 'Sensor de lluvia'];89401.1
T6;Motor 3.0 32v;2019;;True;['Sensor de lluvia', 'Cámara de estacionamiento', '4 X 4', 'Transmisión automática', 'Cerraduras electricas', 'Panel digital', 'Piloto automático', 'Sensor crepuscular'];56842.79
Aston Martin DB7;Motor Diesel V8;2005;52189;False;['Cerraduras electricas', 'Panel digital', 'Sensor crepuscular', 'Control de tracción', 'Cámara de estacionamiento', 'Techo panorámico', 'Sensor de estacionamiento', 'Aire condicionado'];146676.71
207 Sedan;Motor 4.0 Turbo;2010;83559;False;['Control de tracción', 'Central multimedia', 'Sensor de lluvia', 'Cámara de estacionamiento', 'Sensor de estacionamiento', 'Asientos de cuero', 'Panel digital', 'Piloto automático'];89511.96
Aston Martin Virage;Motor Diesel;2019;;True;['Cerraduras electricas', 'Control de tracción', 'Cámara de estacionamiento', 'Asientos de cuero', 'Llantas de aleación', '4 X 4', 'Sensor de lluvia', 'Panel digital'];97290.18
Azera;Motor 1.8 16v;2016;20328;False;['Asientos de cuero', 'Control de tracción', 'Aire condicionado', 'Cámara de estacionamiento', 'Transmisión automática', 'Ventanas eléctricas', 'Techo panorámico', 'Frenos ABS'];120673.56
Vantage Volante;Motor Diesel V8;2019;;True;['Frenos ABS', 'Control de tracción', 'Central multimedia', 'Sensor crepuscular', 'Sensor de lluvia', 'Piloto automático', 'Aire condicionado', 'Transmisión automática'];114434.94
Siena EL;Motor V8;2010;75577;False;['Frenos ABS', 'Sensor crepuscular', 'Control de tracción', 'Llantas de aleación', 'Aire condicionado', 'Cerraduras electricas', 'Sensor de estacionamiento', 'Central multimedia'];139546.69
Palio Adventure;Motor Diesel V8;1994;33659;False;['Techo panorámico', 'Central multimedia', 'Piloto automático', 'Llantas de aleación', 'Ventanas eléctricas', 'Sensor de lluvia', 'Control de tracción', 'Panel digital'];95078.16
HB20X;Motor V8;2001;104341;False;['Sensor crepuscular', 'Techo panorámico', 'Panel digital', 'Transmisión automática', 'Central multimedia', 'Sensor de estacionamiento', 'Cerraduras electricas', 'Asientos de cuero'];68091.77
HR;Motor 5.0 V8 Bi-Turbo;2014;25510;False;['Control de tracción', 'Transmisión automática', '4 X 4', 'Control de estabilidad', 'Llantas de aleación', 'Frenos ABS', 'Sensor crepuscular', 'Aire condicionado'];61496.97
Cadillac STS V-Series;Motor 2.0 16v;1996;18965;False;['Ventanas eléctricas', 'Piloto automático', 'Transmisión automática', 'Sensor crepuscular', 'Sensor de lluvia', 'Control de estabilidad', 'Llantas de aleación', 'Aire condicionado'];139669.3
Série 1 Coupé;Motor 1.0 8v;1993;87161;False;['Control de estabilidad', 'Techo panorámico', 'Asientos de cuero', 'Control de tracción', 'Cámara de estacionamiento', 'Frenos ABS', 'Piloto automático', 'Ventanas eléctricas'];80661.39
SpaceFox;Motor V8;1993;6652;False;['Sensor crepuscular', '4 X 4', 'Panel digital', 'Transmisión automática', 'Control de tracción', 'Central multimedia', 'Ventanas eléctricas', 'Cerraduras electricas'];61783.65
C30;Motor 1.0 8v;2001;55738;False;['Techo panorámico', 'Frenos ABS', 'Sensor crepuscular', 'Aire condicionado', 'Panel digital', 'Central multimedia', 'Control de estabilidad', '4 X 4'];52805.91
J3 Turin;Motor V6;2019;;True;['Sensor crepuscular', 'Cámara de estacionamiento', 'Sensor de estacionamiento', 'Llantas de aleación', 'Frenos ABS', 'Ventanas eléctricas', 'Transmisión automática', '4 X 4'];127024.75
Classe B;Motor Diesel V8;2019;;True;['4 X 4', 'Asientos de cuero', 'Sensor crepuscular', 'Llantas de aleación', 'Central multimedia', 'Panel digital', 'Cerraduras electricas', 'Frenos ABS'];135543
Parati;Motor Diesel V8;2019;;True;['Sensor de estacionamiento', 'Piloto automático', 'Control de tracción', 'Cerraduras electricas', 'Panel digital', 'Asientos de cuero', 'Llantas de aleación', 'Control de estabilidad'];121708.73
Cadillac CTS V-Series;Motor 4.0 Turbo;2007;64320;False;['Piloto automático', 'Aire condicionado', 'Central multimedia', 'Asientos de cuero', 'Ventanas eléctricas', 'Transmisión automática', 'Control de tracción', 'Control de estabilidad'];107342.68
Sedan;Motor V8;2019;;True;['Asientos de cuero', 'Central multimedia', 'Frenos ABS', 'Aire condicionado', 'Cerraduras electricas', 'Panel digital', '4 X 4', 'Llantas de aleación'];57888.1
Classe CLS 63 AMG;Motor Diesel V6;2016;68678;False;['Frenos ABS', 'Ventanas eléctricas', 'Transmisión automática', 'Techo panorámico', 'Panel digital', 'Aire condicionado', 'Sensor crepuscular', 'Cerraduras electricas'];118161.48
Aircross;Motor 1.0 8v;2014;71697;False;['Control de tracción', 'Piloto automático', 'Cámara de estacionamiento', 'Sensor de lluvia', 'Cerraduras electricas', 'Ventanas eléctricas', 'Sensor de estacionamiento', 'Transmisión automática'];142499.06
Aston Martin V12 Vantage;Motor V8;2019;;True;['Asientos de cuero', 'Central multimedia', 'Control de estabilidad', 'Sensor crepuscular', 'Sensor de lluvia', 'Sensor de estacionamiento', 'Piloto automático', 'Ventanas eléctricas'];128396.11
Sandero;Motor Diesel;2015;34783;False;['Piloto automático', 'Techo panorámico', 'Transmisión automática', 'Sensor de estacionamiento', 'Ventanas eléctricas', 'Cerraduras electricas', 'Asientos de cuero', 'Cámara de estacionamiento'];112350.61
New Fiesta;Motor 5.0 V8 Bi-Turbo;2015;33772;False;['Control de tracción', 'Cerraduras electricas', '4 X 4', 'Aire condicionado', 'Panel digital', 'Llantas de aleación', 'Control de estabilidad', 'Central multimedia'];124661.38
XKR;Motor Diesel;1996;85127;False;['Control de tracción', 'Aire condicionado', 'Cerraduras electricas', 'Asientos de cuero', 'Llantas de aleación', 'Sensor crepuscular', 'Cámara de estacionamiento', 'Sensor de estacionamiento'];54263.16
X5;Motor Diesel;2002;13606;False;['Control de tracción', 'Piloto automático', 'Cerraduras electricas', 'Llantas de aleación', 'Ventanas eléctricas', 'Cámara de estacionamiento', 'Transmisión automática', 'Panel digital'];62041.32
Cadillac DTS;Motor 1.8 16v;2005;35647;False;['Central multimedia', 'Llantas de aleación', 'Transmisión automática', 'Frenos ABS', 'Piloto automático', 'Cerraduras electricas', 'Cámara de estacionamiento', 'Control de estabilidad'];129296.11
Pajero Dakar;Motor 4.0 Turbo;1995;95128;False;['Piloto automático', 'Sensor de lluvia', 'Control de estabilidad', 'Techo panorámico', 'Ventanas eléctricas', 'Central multimedia', 'Transmisión automática', 'Control de tracción'];60998.33
Classe A;Motor 1.0 8v;1999;14046;False;['Control de tracción', 'Central multimedia', 'Sensor de estacionamiento', 'Piloto automático', 'Asientos de cuero', 'Cerraduras electricas', 'Sensor crepuscular', 'Cámara de estacionamiento'];58008.5
Ford Focus Fastback;Motor 4.0 Turbo;2005;41194;False;['Asientos de cuero', 'Cámara de estacionamiento', 'Sensor crepuscular', 'Sensor de estacionamiento', 'Panel digital', 'Piloto automático', 'Cerraduras electricas', 'Ventanas eléctricas'];82304.19
Partner;Motor 2.4 Turbo;2019;;True;['Central multimedia', 'Control de tracción', 'Cerraduras electricas', 'Frenos ABS', 'Sensor de lluvia', 'Llantas de aleación', 'Panel digital', 'Sensor de estacionamiento'];114531.74
R8;Motor V6;1997;96100;False;['4 X 4', 'Control de estabilidad', 'Cámara de estacionamiento', 'Piloto automático', 'Cerraduras electricas', 'Central multimedia', 'Asientos de cuero', 'Ventanas eléctricas'];128565.61
Aston Martin DBS Volante;Motor 4.0 Turbo;1990;103900;False;['Central multimedia', 'Control de estabilidad', 'Sensor crepuscular', 'Techo panorámico', 'Transmisión automática', 'Sensor de estacionamiento', 'Sensor de lluvia', 'Cerraduras electricas'];126488.26
Mohave;Motor Diesel V6;2001;43814;False;['Cerraduras electricas', 'Central multimedia', 'Panel digital', 'Transmisión automática', 'Control de tracción', 'Aire condicionado', 'Llantas de aleación', 'Sensor crepuscular'];119074.55
Fusca;Motor 3.0 32v;2013;24638;False;['Transmisión automática', 'Techo panorámico', 'Sensor de lluvia', 'Frenos ABS', '4 X 4', 'Llantas de aleación', 'Cerraduras electricas', 'Piloto automático'];130238.04
Chana Family;Motor V8;2019;;True;['Piloto automático', 'Techo panorámico', 'Sensor de estacionamiento', 'Cámara de estacionamiento', '4 X 4', 'Central multimedia', 'Llantas de aleación', 'Cerraduras electricas'];115760.17
XC40;Motor 2.4 Turbo;2017;110966;False;['Sensor de lluvia', 'Central multimedia', 'Ventanas eléctricas', 'Cámara de estacionamiento', 'Sensor de estacionamiento', 'Cerraduras electricas', 'Techo panorámico', 'Panel digital'];121248
Phantom I Jonckheere Aerodynamic Coupe;Motor 1.8 16v;2011;15987;False;['Sensor crepuscular', 'Cerraduras electricas', 'Piloto automático', 'Cámara de estacionamiento', 'Central multimedia', 'Ventanas eléctricas', 'Frenos ABS', 'Sensor de lluvia'];98156.35
Boxer;Motor V6;2005;53369;False;['Cerraduras electricas', 'Piloto automático', 'Ventanas eléctricas', 'Cámara de estacionamiento', 'Sensor crepuscular', 'Sensor de lluvia', 'Central multimedia', '4 X 4'];112146.8
Chana Cargo;Motor 2.0 16v;2007;10077;False;['Techo panorámico', '4 X 4', 'Central multimedia', 'Sensor de lluvia', 'Sensor de estacionamiento', 'Aire condicionado', 'Cámara de estacionamiento', 'Piloto automático'];102729.63
Dodge Dakota;Motor Diesel;1993;71544;False;['Control de tracción', 'Sensor de estacionamiento', 'Piloto automático', 'Central multimedia', '4 X 4', 'Panel digital', 'Cámara de estacionamiento', 'Ventanas eléctricas'];141083.35
X1;Motor Diesel V8;1991;107;False;['4 X 4', 'Techo panorámico', 'Aire condicionado', 'Llantas de aleación', 'Panel digital', 'Cámara de estacionamiento', 'Control de tracción', 'Piloto automático'];102968.76
GLA;Motor 1.0 8v;1991;8394;False;['Sensor de lluvia', 'Cámara de estacionamiento', 'Frenos ABS', 'Control de estabilidad', 'Central multimedia', 'Control de tracción', 'Techo panorámico', 'Sensor crepuscular'];76310.01
Range Rover Sport;Motor 1.0 8v;1997;41498;False;['Sensor de estacionamiento', 'Cámara de estacionamiento', 'Frenos ABS', 'Asientos de cuero', 'Aire condicionado', '4 X 4', 'Panel digital', 'Piloto automático'];120481.74
DS3;Motor 1.8 16v;2000;116002;False;['Control de estabilidad', 'Aire condicionado', 'Transmisión automática', 'Frenos ABS', 'Sensor de lluvia', '4 X 4', 'Sensor de estacionamiento', 'Cerraduras electricas'];54559.18
Veracruz;Motor Diesel V8;2007;100858;False;['Control de estabilidad', 'Cámara de estacionamiento', 'Cerraduras electricas', 'Central multimedia', '4 X 4', 'Techo panorámico', 'Sensor de estacionamiento', 'Piloto automático'];92957.64
Cadillac CTS coupe, sedan, and wagon;Motor V8;2006;67475;False;['Sensor de lluvia', 'Sensor de estacionamiento', 'Control de estabilidad', 'Techo panorámico', 'Sensor crepuscular', 'Asientos de cuero', 'Cerraduras electricas', 'Panel digital'];127810.06
i30 CW;Motor Diesel;2015;8497;False;['Sensor de lluvia', 'Ventanas eléctricas', 'Control de estabilidad', 'Sensor crepuscular', 'Techo panorámico', 'Panel digital', 'Cerraduras electricas', 'Frenos ABS'];73311.75
Phantom III;Motor Diesel V6;2008;4420;False;['Ventanas eléctricas', 'Asientos de cuero', 'Piloto automático', 'Aire condicionado', 'Cerraduras electricas', 'Panel digital', 'Techo panorámico', 'Control de tracción'];65138.03
A3 Sedan;Motor V6;2019;;True;['Aire condicionado', 'Sensor de lluvia', 'Cerraduras electricas', 'Ventanas eléctricas', '4 X 4', 'Techo panorámico', 'Cámara de estacionamiento', 'Piloto automático'];90141.47
Aston Martin DB9 Volante;Motor 2.0 16v;1996;58537;False;['Central multimedia', 'Asientos de cuero', 'Cámara de estacionamiento', 'Cerraduras electricas', 'Llantas de aleación', 'Panel digital', 'Techo panorámico', 'Ventanas eléctricas'];71160.36
Série 7 Sedã;Motor Diesel;2019;;True;['Ventanas eléctricas', 'Cerraduras electricas', 'Llantas de aleación', 'Control de estabilidad', 'Sensor crepuscular', 'Transmisión automática', 'Frenos ABS', 'Aire condicionado'];67539.79
Lamborghini Reventón;Motor 4.0 Turbo;2019;;True;['Control de tracción', 'Aire condicionado', 'Central multimedia', 'Asientos de cuero', 'Cámara de estacionamiento', 'Cerraduras electricas', 'Sensor de lluvia', 'Ventanas eléctricas'];67664.86
